concentration_plate_id	concentration_date	concentration_input_ml	concentration_output_ml	concentration_method	concentration_method_lot_id	concentration_machine	concentration_run_by	concentration_plate_comments
PE36	12/21/20	100	3.4	PEG Precipitation		Sorvall	AT	
PE37	1/3/21	100	7	PEG Precipitation		Sorvall	MS	
PE38	1/3/21	100	15	PEG Precipitation		Sorvall	MS	
PE39	1/3/21	100	6	PEG Precipitation		Sorvall	MS	
PE4	11/9/20	100	3.4	PEG Precipitation		Sorvall	MS	
PE40	1/3/21	100	5.5	PEG Precipitation		Sorvall	MS	
PE41	1/3/21	100	8	PEG Precipitation		Sorvall	MS	
PE42	1/3/21	100	7	PEG Precipitation		Sorvall	MS	
PE43	1/4/21	100	6	PEG Precipitation		Sorvall	MS	
PE44	1/4/21	100	4	PEG Precipitation		Sorvall	MS	
PE45	1/4/21	100	4	PEG Precipitation		Sorvall	MS	
PE46	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE47	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE48	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE49	2/5/21	100	3	PEG Precipitation		Sorvall	MS	
PE5	11/9/20	100	5	PEG Precipitation		Sorvall	MS	
PE50	2/5/21	100	5	PEG Precipitation		Sorvall	MS	
PE51	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE52	2/5/21	100	3	PEG Precipitation		Sorvall	MS	
PE53	2/5/21	100	5	PEG Precipitation		Sorvall	MS	
PE54	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE55	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE56	2/5/21	100	4.5	PEG Precipitation		Sorvall	MS	
PE57	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE58	2/5/21	100	5	PEG Precipitation		Sorvall	MS	
PE59	2/5/21	100	5.5	PEG Precipitation		Sorvall	MS	
PE6	11/13/20	100	4	PEG Precipitation		Sorvall	MS	
PE60	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE61	2/5/21	100	3	PEG Precipitation		Sorvall	MS	
PE62	2/5/21	100	5	PEG Precipitation		Sorvall	MS	
PE63	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE64	2/5/21	100	5.5	PEG Precipitation		Sorvall	MS	
PE65	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE66	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE67	2/5/21	100	4	PEG Precipitation		Sorvall	MS	
PE68	2/5/21	100	5	PEG Precipitation		Sorvall	MS	
PE69	2/19/21	100	4	PEG Precipitation		Sorvall	AT	
PE7	11/13/20	100	3.8	PEG Precipitation		Sorvall	MS	
PE70	2/22/21	100	4	PEG Precipitation		Sorvall	AT	
PE71	2/22/21	100	5	PEG Precipitation		Sorvall	AT	
PE72	2/22/21	100	5	PEG Precipitation		Sorvall	AT	
PE73	2/22/21	100	4	PEG Precipitation		Sorvall	AT	
PE74	2/22/21	100	6	PEG Precipitation		Sorvall	AT	
PE75	2/22/21	100	5	PEG Precipitation		Sorvall	AT	
PE76	2/22/21	100	5	PEG Precipitation		Sorvall	AT	
