assay_id	sample_id	collection_start_datetime	collection_end_datetime	event_type	sample_flow	sample_qc	location_id	target	target_genetic_locus	lab_id	target_copies_per_l	target_copies_per_ld	target_copies_per_ldcap	target_copies_flownorm	target_copies_fn_per_cap	target_per_capita_basis	nc_copies_per_rxn	pc_copies_per_rxn	target_result_validated
A01-0763.a1	A01-0763	12/29/2023 12:00 AM	12/30/2023 12:00 AM	Routine Surveillance	8.8	Pass	StarCityWWTP-01	SARS-CoV-2	N2	ZooWVU	753183.349370958	753183.349370958	1558.48234847492	25089748.4863724	51915.5530673158	100	0	0	yes
A02-1017.a3	A02-1017	02/04/2023 9:00	02/06/2023 9:00	Routine Surveillance		Pass	UPlace-01	Human	RNase P	ZooWVU	636751.2130125	318375.60650625	NA	NA	NA	100	NA	NA	Missing controls: HEX
A01-0759.a2	A01-0759	12/19/2023 12:00 AM	12/20/2023 12:00 AM	Routine Surveillance	7.7	Pass	StarCityWWTP-01	Respiratory Syncitial Virus, Human (RSV)	G	ZooWVU	1610	1610	3.33140208574739	46927.72777	97.1025653244496	100	0	0	yes
A01-0544.a1	A01-0544	04/23/2023 0:00	04/24/2023 0:00	Routine Surveillance	7.3	Pass	StarCityWWTP-01	SARS-CoV-2	N1	ZooWVU	384109.1091	384109.1091	794.796203236219	10614276.3775511	21962.9953185546	100	0	932.277298	yes
M03-0187.a3	M03-0187	01/19/2023 11:00	01/20/2023 11:00	Routine Surveillance	0.66	Pass	ManningtonWWTP-01	Human	RNase P	ZooWVU	10303.5253425	10303.5253425	944.411122135655	25742.0247920569	2359.48898185673	100	NA	NA	Missing controls: HEX
H01-0664.a3	H01-0664	08/01/2023 8:00	08/02/2023 7:00	Routine Surveillance	1.21	Pass	MoundsvilleWWTP-01	Human	RNase P	ZooWVU	2180	2180	18.1666666666667	9985.154498	83.2096208166667	100	NA	NA	Missing controls: HEX
P01-0036.a1	P01-0036	03/07/2022 11:36	03/08/2022 11:15	Routine Surveillance	0.405	Pass	StMarysWWTP-01	SARS-CoV-2	N1	ZooWVU	31818.172599375	31818.172599375	1100.21343704616	48780.1556394571	1686.72737342521	100	0	5341.848374	yes
N03-0101.a2	N03-0101	06/22/2022 7:30	06/23/2022 7:30	Routine Surveillance	0.44997	Pass	SalemWWTP-01	SARS-CoV-2	N2	ZooWVU	447	447	24.123043712898	761.3844591519	41.0892854372315	100	0	3305.126572	yes
O01-0297.a1	O01-0297	03/07/2023 6:00	03/08/2023 6:00	Routine Surveillance	2.11	Pass	GraftonWWTP-01	SARS-CoV-2	N1	ZooWVU	23215.294981875	23215.294981875	382.396557105501	185425.554630186	3054.28355510107	100	0	667.863388	yes
G01-0143.a2	G01-0143	03/13/2022 9:00	03/14/2022 8:00	Routine Surveillance	1.033	Pass	KeyserWWTP-01	SARS-CoV-2	N2	ZooWVU	2148	2148	26.2977473065622	8399.38568244	102.832831567581	100	0	923.470211	yes
