concentration_batch_id	concentration_batch_comment	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by
CP89		1.0	3/4/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP152		1.0	5/25/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP131		1.0	4/28/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP294		1.0	12/5/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP135		1.0	5/4/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP118		1.0	4/14/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP122		1.0	4/19/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP180		1.0	7/6/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP219		1.0	8/24/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP56		1.0	1/6/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP270		1.0	10/28/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP242		1.0	9/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP34		1.0	11/11/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	JL
CP265		1.0	10/19/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP49		1.0	12/15/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP309		1.0	12/28/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP103		1.0	3/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP241		1.0	9/21/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP287		1.0	11/18/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP326		1.0	1/25/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	JL
CS10		1.0	1/4/21	100		PEG Precipitation		6	MS
CP177		1.0	6/29/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP121		1.0	4/18/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP155		1.0	5/27/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP114		1.0	4/6/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP125		1.0	4/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP151		1.0	5/25/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP132		1.0	4/29/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP199		1.0	8/1/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP79		1.0	2/16/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP207		1.0	8/10/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CS18		1.0	4/16/21	100		PEG Precipitation		5	JL
CP54		1.0	1/3/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	JL
CP0.7	pH - 6.33	1.0	7/7/21	10		Ceres Nanotrap		0.95	
CP298		1.0	12/8/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP183		1.0	7/8/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP273		1.0	11/3/22	10	Halcyon	Ceres Nanotrap	4455	0.475	SB
CP356		1.0	3/6/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP317		1.0	1/11/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP262		1.0	10/17/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP36		1.0	11/16/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.425	AJ
CP245		1.0	9/28/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP158		1.0	6/1/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP18		1.0	9/29/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
CP134		1.0	5/4/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP86		1.0	2/28/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP259		1.0	10/17/22	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP291		1.0	11/28/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP363		1.0	3/15/23	10	Halcyon	Ceres Nanotrap	NT04465	0.475	AJ
CP340		1.0	2/13/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP264		1.0	10/19/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP372		1.0	3/27/23	10	Halcyon	Ceres Nanotrap	NT04465	0.475	AJ
CP27		1.0	10/20/21	10	Halcyon	Ceres Nanotrap	NT04474	0.425	JL
CP74		1.0	2/10/22	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP10		1.0	3/21/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP149		1.0	5/20/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP337		1.0	2/8/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP248		1.0	10/12/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	SB
CP59		1.0	1/13/21	10	Halcyon	Ceres Nanotrap	NT04474	0.475	AJ
CP67		1.0	1/28/22	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	AJ
CP128		1.0	4/26/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CP112		1.0	4/5/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	JL
CP46		1.0	12/9/21	10	Kookaburra	Ceres Nanotrap	NT04474	0.475	LW
CP229		1.0	9/7/22	10	Halcyon	Ceres Nanotrap	NT04473	0.475	AJ
CP295		1.0	12/5/22	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP314		1.0	1/9/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP213		1.0	8/17/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
CS21		1.0	5/7/21	100		PEG Precipitation		5	
CP355		1.0	3/2/23	10	Halcyon	Ceres Nanotrap	NT04455	0.475	AJ
CP321		1.0	1/18/23	10	Kookaburra	Ceres Nanotrap	NT04455	0.475	AJ
CP190		1.0	7/20/22	10	Kookaburra	Ceres Nanotrap	NT04473	0.475	AJ
