Asset Tag ID	Department	Location	Description	Site	Category	Sample Collection Method	Sample Collection By	Sample Collection Date/Time	Sample Received Date	Sample Composite Start	Sample Composite End	Sample Received By	Assay Date	Comments	Sample pH (Lab)	Control, Process (Type)	Control, Internal (Type)	Sample QC Check	Assay Target 1	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Result (CN/L)	Sample Flow (MGD)	Status: NWSS	Status: WaTCH
I01-0003	WWTP	WarmSpringsWWTP-01	Sample	Morgan	Sample	Composite		10/28/2021 12:10 PM	10/29/2021	10/27/2021 07:00 AM	10/28/2021 07:00 AM	JL	11/4/21		6.91			Pass	SARS-CoV-2 N1	105735.9129	SARS-CoV-2 N2	102475.8196		Rejected: No Flow	Complete
K01-0032	WWTP	ParkersburgWWTP-01	G	Wood	Sample	Composite		02/11/2022 06:38 AM	02/16/2022	02/10/2022 06:20 AM	02/11/2022 06:38 AM	AJ	2/17/22		7.36			Pass	SARS-CoV-2 N1	171769.7704	SARS-CoV-2 N2	144116.3948	8.053	Processing	Complete
A03-0186	K-12	MountainviewES-01	A03-0186	Monongalia	Sample	Composite	GZ	02/18/2022 02:28 PM	02/24/2022	02/18/2022 06:00 AM	02/18/2022 02:00 PM	AJ	2/24/22		8.2			Pass	SARS-CoV-2 N1	0	SARS-CoV-2 N2	0		Processing	Processing
A01-0132	WWTP	StarCityWWTP-01	Sample	Monongalia	Sample	Composite		12/22/2021 11:59 PM	12/28/2021	12/22/2021 12:00 AM	12/22/2021 11:59 PM	JL	1/12/22		7.13			Pass	SARS-CoV-2 N1	51172.48245	SARS-CoV-2 N2	48160.60871	6.9	Processing	Complete
B01-0143	WWTP	CharlestonWWTP-01	B01-0143	Kanawha	Sample	Composite		04/29/2022 07:00 AM	05/03/2022	04/28/2022 07:00 AM	04/29/2022 07:00 AM	AJ	5/4/22		7.1			Pass	SARS-CoV-2 N1	44959.77648	SARS-CoV-2 N2	55545.56318	8.7	Processing	Complete
D01-0058	WWTP	CharlesTownWWTP-01	D01-0058	Jefferson	Sample	Composite		03/07/2022 07:30 AM	03/09/2022	03/06/2022 07:30 AM	03/07/2022 07:30 AM	AJ	3/10/22		7.08			Pass	SARS-CoV-2 N1	208304.3057	SARS-CoV-2 N2	44305.99384	1.24	Processing	Complete
D01-0023	WWTP	CharlesTownWWTP-01	Sample	Jefferson	Sample	Composite	RS	01/25/2022 08:00 AM	01/26/2022	01/24/2022 08:00 AM	01/25/2022 08:00 AM	AJ	2/2/22		7.24			Fail: Missing Required Data	SARS-CoV-2 N1	1257515.588	SARS-CoV-2 N2	121366.1979		Processing	Complete
N02-0071	WWTP	ClarksburgWWTP-01	N02-0071	Harrison	Sample	Composite		04/19/2022 07:00 AM	04/20/2022	04/18/2022 07:00 AM	04/19/2022 07:00 AM	AJ	4/21/22		7.33			Pass	SARS-CoV-2 N1	22273.08881	SARS-CoV-2 N2	17322.49003	11.457	Processing	Complete
L01-0002	WWTP	WestUnionWWTP-01	G	Doddridge	Sample	Composite		02/08/2022 09:10 AM	02/16/2022	02/07/2022 09:10 AM	02/08/2022 09:10 AM	AJ	2/17/22		7.2			Pass	SARS-CoV-2 N1	228970.9988	SARS-CoV-2 N2	200918.4551	0.26	Processing	Complete
E02-0073	WWTP	AthensWWTP-01	E02-0073	Mercer	Sample	Composite		02/24/2022 08:00 AM	02/25/2022	02/23/2022 08:00 AM	02/24/2022 08:00 AM	AJ	2/28/22		6.91			Pass	SARS-CoV-2 N1	828725.5025	SARS-CoV-2 N2	897386.0228	0.244	Processing	Complete
