extraction_batch_comment	extraction_batch_id	extraction_batch_record_version	extraction_date	extraction_eluant	extraction_input_ul	extraction_machine	extraction_method	extraction_method_lot_id	extraction_output_ul	extraction_run_by
	EP37	1.0.0	11/17/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	50	JL
	EP38	1.0.0	11/19/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP39	1.0.0	11/22/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP40	1.0.0	11/29/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP41	1.0.0	11/30/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP42	1.0.0	12/2/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	LW
	EP43	1.0.0	12/3/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	AJ
	EP44	1.0.0	12/6/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP45	1.0.0	12/8/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	AJ
	EP46	1.0.0	12/9/21	Kit buffer	400	Kookaburra	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	LW
	EP47	1.0.0	12/10/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP48	1.0.0	12/13/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP49	1.0.0	12/15/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP50	1.0.0	12/16/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108355	75	AJ
	EP51	1.0.0	12/17/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2108255	75	AJ
	EP52	1.0.0	12/21/21	Kit buffer	400	Halcyon	Thermo Magmax Microbiome Ultra Nucleic Acid Isolation Kit	2110258	75	AJ
