Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
A02-0215	0	0		WVU Morgantown	CollegePark-02	11/8/21 10:25					
H01-0045	65865.50675	54234.6599		WWTP	MoundsvilleWWTP-01	11/15/21 8:00	1.5				
A0104	13708.8	13708.8		WWTP	StarCityWWTP-01	11/5/20 0:00	6.009				
G01-0040	126977.9603	124382.7219		WWTP	KeyserWWTP-01	12/3/21 9:00	0.633				
A02-0200	0	0		WVU Morgantown	Evansdale-01	10/30/21 9:00					
A01-0159	684987.942	636774.112		WWTP	StarCityWWTP-01	1/23/22 0:00	9.9				
B01-0029	4428.780307	0		WWTP	CharlestonWWTP-01	12/8/21 7:00	7.32				
A02-0004	0	0		WVU Morgantown	NorthHighSt-02 (MUB)	8/11/21 9:00					
C01-0003	391757.3166	330055.356		WWTP	WheelingWWTP-01	9/14/21 7:00					
H01-0082	34493.25353	51750.53135		WWTP	MoundsvilleWWTP-01	12/3/21 8:00	1.2				
C01-0015	17373.37075	31861.46006		WWTP	WheelingWWTP-01	10/5/21 7:00	5.913				
A03-0181	7638.607062	28015.03357		K-12	NorthES-01	1/14/22 6:00					
A03-0032	0	167385.335		K-12	BrookhavenES-01	9/30/21 10:50					
E02-0099	362131.2493	365880.9292		WWTP	AthensWWTP-01	1/14/22 8:00	0.261				
A02-0152 b	89820	52380		WVU Morgantown	Evansdale-01	8/10/21 9:00	11.938				
A02-0218	20996.05329	37805.6027		WVU Morgantown	CollegePark-02	11/10/21 10:25					
E01-0004	4889.975339	14672.79613		WWTP	PrincetonWWTP-01	11/2/21 8:00					
E02-0017	45576.53524	28997.51667		WWTP	AthensWWTP-01	12/6/21 8:00	0.06				
H01-0021				WWTP	MoundsvilleWWTP-01	10/18/21 8:00					
A1049	0	0		WWTP	StarCityWWTP-01	5/16/21 0:00	7.808				
A03-0044				K-12	MountainviewES-01	10/20/21 6:00					
G01-0070	37612.5	26987.5		WWTP	KeyserWWTP-01	11/7/21 9:00					
H01-0063	0	2910.437915		WWTP	MoundsvilleWWTP-01	1/4/22 8:00	2.1				
A02-0272	5918.904897	0		WVU Morgantown	HonorsSummit-01 (MUB)	1/5/22 9:00					
G02-0022	8182.428628	5454.775114		WVU Keyser	PotomacState-01	12/1/21 11:00					
A02-0029	17555.93322	22346.24624		WVU Morgantown	HonorsSummit-01 (MUB)	8/23/21 9:46					
A03-0119	0	5243.230909		K-12	MorgantownHS-01	12/1/21 6:00					
